Participant,Session,ManRO,ManRB,ManRL,ManAB,ManAL,ManLO,ManLB,ManLL,MaxRO,MaxRB,MaxRL,MaxAB,MaxAL,MaxLO,MaxLB,MaxLL
11,4,243,344,35,327,0,176,130,0,25,222,0,408,0,0,294,0
11,5,191,108,26,239,35,166,60,63,103,164,0,230,58,0,197,0
11,6,359,82,170,194,10,107,323,0,45,363,0,436,0,0,167,0
11,7,63,268,16,326,0,73,288,15,0,258,0,500,20,0,252,0
11,8,1592,220,0,63,0,128,274,0,0,56,0,427,0,0,34,0
11,9,250,529,144,198,0,53,445,18,0,271,0,346,0,0,91,0
11,10,146,312,0,298,0,95,248,0,19,300,0,288,0,0,127,0
12,1,90,248,25,167,248,0,93,164,80,192,0,185,63,214,110,0
12,2,0,53,73,209,228,126,163,105,64,334,94,163,47,38,233,180
12,3,23,176,143,143,250,42,279,179,0,138,0,134,0,0,231,0
12,4,104,66,50,34,233,161,13,70,0,111,0,161,0,41,144,0
12,5,0,121,30,42,142,115,274,132,0,207,0,94,31,197,161,140
12,6,66,42,136,244,290,157,59,190,160,385,0,319,104,176,169,66
12,7,124,51,127,286,333,192,205,359,0,192,43,258,175,193,310,0
12,8,200,89,116,83,211,28,180,278,73,202,0,286,13,0,334,0
12,9,16,57,165,233,128,121,402,261,38,285,48,268,50,0,236,0
12,10,35,256,0,61,169,0,278,137,105,68,0,154,15,199,244,0
